TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,주소
홍천,62,홍천,홍천,R,37.69,127.85,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,
군산화력발전소,63,군산화력발전소,군산화력발전소,R,35.98,126.73,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,690-2
호남화력발전소,64,호남화력발전소,호남화력발전소,R,34.8532,127.7343,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,월내동280
동해화력발전소,65,동해화력발전소,동해화력발전소,R,37.29,129.08,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,231
울산복합화력발전소,66,울산복합화력발전소,울산복합화력발전소,R,35.476,129.381,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,1
분당복합화력,67,분당복합화력,분당복합화력,R,37.3641,127.1486,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,분당동186
삼천포화력,68,삼천포화력,삼천포화력,R,34.9122,128.1094,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,하이면덕호리952
영동화력발전소,69,영동화력발전소,영동화력발전소,R,37.7385,128.9817,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,강동면대동리200
여수화력발전소,70,여수화력발전소,여수화력발전소,R,34.8394,127.6914,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,중흥동1300
광주공항,71,광주공항,광주공항,R,35.139444,126.810278,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,신촌동704-13
대구공항,72,대구공항,대구공항,R,35.900278,128.636389,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,공항로221
무안공항,73,무안공항,무안공항,R,34.991111,126.3875,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,망운면피서리781-6
무안공항관제탑,74,무안공항관제탑,무안공항관제탑,R,34.991111,126.3875,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,망운면피서리781-6
울산공항관제탑,75,울산공항관제탑,울산공항관제탑,R,35.592361,129.355833,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,산업로1103
울산공항,76,울산공항,울산공항,R,35.592361,129.355833,http://211.178.186.30:8080/img/common/ico_map01.png,http://211.178.186.30:8080/img/common/ico_map01.png,산업로1103
