title,typeid,name,description,icon_color,long,lat,url,thumb_url,주소,image_url,fctyCd,gvmtCd
한국과학기술원,34,한국과학기술원,한국과학기술원,R,127.045603,37.593011,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,서울특별시 동대문구청량리동 207-43,http://10.32.28.204:8001/img/common/ico_map02.png,DM,AC
장수군청,35,장수군청,장수군청,R,127.311634,35.385032,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전북 장수군장수읍 장수리 176-7,http://10.32.28.204:8001/img/common/ico_map01.png,JS,JP
제주화력발전소,36,제주화력발전소,제주화력발전소,R,126.59,33.53,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,제주도 제주시삼양 1동 900,http://10.32.28.204:8001/img/common/ico_map11.png,JF,JE
한밭대학교,37,한밭대학교,한밭대학교,R,127.3,36.35,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,대전광역시 유성구동서대로 125,http://10.32.28.204:8001/img/common/ico_map02.png,HB,AC
평택시청,38,평택시청,평택시청,R,127.1126,36.9923,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 평택시비전동846(경기대로245),http://10.32.28.204:8001/img/common/ico_map01.png,PT,GK
증평군청,39,증평군청,증평군청,R,127.581416,36.7847166,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 증평군증평읍광장로 88,http://10.32.28.204:8001/img/common/ico_map01.png,JP,CP
남동구청,40,남동구청,남동구청,R,126.7315333,37.44721944,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,인천광역시 남동구만수동 1008,http://10.32.28.204:8001/img/common/ico_map01.png,ND,IC
서울과학기술대학교,41,서울과학기술대학교,서울과학기술대학교,R,127.075292,37.634289,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,서울특별시 노원구공릉로232,http://10.32.28.204:8001/img/common/ico_map02.png,SL,AC
포천시청,42,포천시청,포천시청,R,127.2,37.894,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 포천시신읍동58-2,http://10.32.28.204:8001/img/common/ico_map01.png,PC,GK
목포대학교,43,목포대학교,목포대학교,R,126.26,34.54,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,전남 무안군청계면영산로1666,http://10.32.28.204:8001/img/common/ico_map02.png,MA,AC
부산대학교,44,부산대학교,부산대학교,R,129.077,35.235822,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,부산광역시 금정구부산대학로63번길2,http://10.32.28.204:8001/img/common/ico_map02.png,PS,AC
중구청,45,중구청,중구청,R,126.9975,37.5637,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,서울특별시 중구창경궁로17,http://10.32.28.204:8001/img/common/ico_map01.png,JG,SL
강화군청,46,강화군청,강화군청,R,126.4833,37.7474,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,인천광역시 강화군강화읍 관청리 163,http://10.32.28.204:8001/img/common/ico_map01.png,SH,IC
충남대학교,47,충남대학교,충남대학교,R,127.344122,36.368517,http://10.32.28.204:8001/img/common/ico_map02.png,http://10.32.28.204:8001/img/common/ico_map02.png,대전광역시 유성구궁동 220,http://10.32.28.204:8001/img/common/ico_map02.png,CU,AC
진천군청,48,진천군청,진천군청,R,127.435796,36.855385,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 진천군진천읍상산로13,http://10.32.28.204:8001/img/common/ico_map01.png,GC,CP
세종열병합발전소,49,세종열병합발전소,세종열병합발전소,R,128.256944,36.477222,http://10.32.28.204:8001/img/common/ico_map11.png,http://10.32.28.204:8001/img/common/ico_map11.png,세종시가람동512-2,http://10.32.28.204:8001/img/common/ico_map11.png,SJ,JE
여주시청,50,여주시청,여주시청,R,127.637342,37.298283,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,경기도 여주시세종로1,http://10.32.28.204:8001/img/common/ico_map01.png,YE,GK
청주공항,51,청주공항,청주공항,R,127.498333,36.724167,http://10.32.28.204:8001/img/common/ico_map04.png,http://10.32.28.204:8001/img/common/ico_map04.png,충북 청원군입산리산5-1번지,http://10.32.28.204:8001/img/common/ico_map04.png,CW,KA
