TITLE,TYPEID,Name,Description,Icon_color,Long,Lat,URL,Thumb_URL,imageUrl,주소,fctyCd,gvmtCd
석유공사용인지사,134,석유공사용인지사,석유공사용인지사,R,127.16,37.1,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경기도 용인시처인구 호동 517-2 통제실,YI,OL
석유공사곡성지사,135,석유공사곡성지사,석유공사곡성지사,R,127.12,35.14,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,전남 곡성군겸면 괴정리 612 통제실,GS,OL
석유공사동해지사,136,석유공사동해지사,석유공사동해지사,R,129.08,37.5,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,강원도 동해시구호동 226 통제실,DH,OL
목포시청,137,목포시청,목포시청,R,126.392209,34.81187,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전남 목포시용당동1188-2,MP,JN
화순군청,138,화순군청,화순군청,R,126.986,35.064,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,전남 화순군화순읍동헌길23,HS,JN
인제군청,139,인제군청,인제군청,R,128.170696,38.06949,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,강원도 인제군인제읍인제로197번길8,IJ,GW
영월(군청),140,영월(군청),영월(군청),R,128.475555,37.162095,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,강원도 영열군영월읍 하송리 242,YO,GS
제천시청,141,제천시청,제천시청,R,128.191088,37.1329472,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,http://10.32.28.204:8001/img/common/ico_map01.png,충북 제천시내토로295(천남동),JC,CP
사천(시청),142,사천(시청),사천(시청),R,128.132566,35.08683,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,경남 사천시용현면 덕곡리 501,SA,GS
장림,143,장림,장림,R,128.955078,35.07869,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,http://10.32.28.204:8001/img/common/ico_map07.png,NULL,JA,GS
